,job
0,admin.
1,admin.
2,technician
3,services
4,admin.
5,management
6,management
7,retired
8,technician
9,services
10,admin.
11,blue-collar
12,management
13,blue-collar
14,technician
15,management
16,blue-collar
17,services
18,admin.
19,admin.
20,admin.
21,management
22,management
23,blue-collar
24,unemployed
25,blue-collar
26,technician
27,blue-collar
28,admin.
29,blue-collar
30,blue-collar
31,technician
32,blue-collar
33,blue-collar
34,blue-collar
35,management
36,blue-collar
37,management
38,management
39,entrepreneur
40,blue-collar
41,management
42,entrepreneur
43,blue-collar
44,management
45,blue-collar
46,technician
47,housemaid
48,technician
49,blue-collar
50,blue-collar
51,management
52,retired
53,blue-collar
54,blue-collar
55,admin.
56,blue-collar
57,retired
58,technician
59,technician
60,blue-collar
61,blue-collar
62,blue-collar
63,blue-collar
64,blue-collar
65,blue-collar
66,unknown
67,services
68,admin.
69,technician
70,services
71,management
72,retired
73,blue-collar
74,technician
75,services
76,technician
77,self-employed
78,blue-collar
79,blue-collar
80,admin.
81,services
82,blue-collar
83,technician
84,admin.
85,technician
86,management
87,technician
88,blue-collar
89,management
90,admin.
91,blue-collar
92,admin.
93,blue-collar
94,services
95,management
96,technician
97,technician
98,blue-collar
99,blue-collar
100,services
101,blue-collar
102,blue-collar
103,services
104,technician
105,admin.
106,technician
107,blue-collar
108,blue-collar
109,blue-collar
110,blue-collar
111,blue-collar
112,technician
113,management
114,blue-collar
115,technician
116,blue-collar
117,management
118,technician
119,retired
120,technician
121,technician
122,technician
123,blue-collar
124,blue-collar
125,blue-collar
126,self-employed
127,blue-collar
128,blue-collar
129,admin.
130,blue-collar
131,management
132,blue-collar
133,blue-collar
134,technician
135,technician
136,services
137,blue-collar
138,self-employed
139,admin.
140,blue-collar
141,management
142,admin.
143,admin.
144,management
145,services
146,blue-collar
147,services
148,retired
149,entrepreneur
150,admin.
151,admin.
152,blue-collar
153,services
154,management
155,management
156,technician
157,services
158,self-employed
159,management
160,services
161,management
162,student
163,entrepreneur
164,blue-collar
165,admin.
166,blue-collar
167,unemployed
168,blue-collar
169,technician
170,management
171,admin.
172,blue-collar
173,blue-collar
174,management
175,blue-collar
176,blue-collar
177,management
178,technician
179,blue-collar
180,management
181,management
182,admin.
183,services
184,unemployed
185,management
186,technician
187,technician
188,services
189,unemployed
190,blue-collar
191,technician
192,blue-collar
193,management
194,management
195,technician
196,unemployed
197,management
198,entrepreneur
199,blue-collar
200,management
201,services
202,blue-collar
203,services
204,technician
205,services
206,management
207,management
208,blue-collar
209,blue-collar
210,technician
211,blue-collar
212,blue-collar
213,management
214,technician
215,unemployed
216,self-employed
217,entrepreneur
218,management
219,services
220,services
221,management
222,blue-collar
223,blue-collar
224,admin.
225,technician
226,management
227,admin.
228,services
229,blue-collar
230,blue-collar
231,management
232,management
233,services
234,self-employed
235,blue-collar
236,admin.
237,blue-collar
238,retired
239,entrepreneur
240,entrepreneur
241,management
242,admin.
243,blue-collar
244,management
245,services
246,housemaid
247,blue-collar
248,housemaid
249,housemaid
250,self-employed
251,technician
252,blue-collar
253,blue-collar
254,technician
255,admin.
256,blue-collar
257,admin.
258,management
259,services
260,technician
261,blue-collar
262,management
263,blue-collar
264,blue-collar
265,management
266,services
267,management
268,self-employed
269,technician
270,blue-collar
271,management
272,blue-collar
273,self-employed
274,entrepreneur
275,admin.
276,admin.
277,management
278,housemaid
279,retired
280,retired
281,blue-collar
282,management
283,blue-collar
284,unemployed
285,admin.
286,blue-collar
287,admin.
288,self-employed
289,housemaid
290,management
291,blue-collar
292,blue-collar
293,management
294,blue-collar
295,blue-collar
296,blue-collar
297,retired
298,entrepreneur
299,services
300,blue-collar
301,unemployed
302,management
303,blue-collar
304,technician
305,management
306,entrepreneur
307,management
308,technician
309,student
310,management
311,blue-collar
312,management
313,self-employed
314,services
315,admin.
316,management
317,blue-collar
318,entrepreneur
319,technician
320,admin.
321,blue-collar
322,blue-collar
323,blue-collar
324,retired
325,technician
326,housemaid
327,services
328,entrepreneur
329,retired
330,blue-collar
331,blue-collar
332,blue-collar
333,blue-collar
334,unemployed
335,services
336,blue-collar
337,retired
338,services
339,management
340,management
341,blue-collar
342,technician
343,management
344,blue-collar
345,services
